"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Professionally";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.00";"    0.03";"       1";"      11"
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.01";"    0.04";"       3";"      15"
"Professionally";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.01";"    0.05";"       5";"      19"
"Professionally";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.01";"    0.03";"       3";"      12"
"Professionally";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.01";"    0.04";"       4";"      15"
"Professionally";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.01";"    0.05";"       4";"      19"
"Professionally";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.02";"    0.09";"       7";"      32"
"Professionally";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.01";"    0.04";"       3";"      13"
"Professionally";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.01";"    0.05";"       4";"      20"
"Professionally";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.01";"    0.04";"       3";"      14"
"Professionally";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.01";"    0.04";"       4";"      15"
"Professionally";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.01";"    0.04";"       3";"      13"
"Professionally";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.01";"    0.04";"       3";"      13"
"Professionally";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.01";"    0.05";"       4";"      17"
"Professionally";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.01";"    0.02";"       3";"       9"
"Professionally";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.01";"    0.03";"       3";"      13"
"Professionally";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.01";"    0.04";"       4";"      14"
"Professionally";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.01";"    0.04";"       3";"      16"
"Professionally";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.01";"    0.04";"       4";"      14"
"Professionally";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.01";"    0.04";"       4";"      14"
"Professionally";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";"    0.00";"    0.01";"       1";"       2"
"Professionally";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";"    0.00";"    0.01";"       1";"       3"
"Professionally";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";"    0.00";"    0.00";"       1";"       2"
"Professionally";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";"    0.00";"    0.01";"       1";"       2"
"Professionally";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2019";"    0.01";"    0.01";"       2";"       4"
"Professionally";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2021";"    0.00";"    0.01";"       1";"       2"
"Professionally";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";"    0.09";"    0.83";"      31";"     302"
"Services/care";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";"    0.09";"    0.73";"      31";"     267"
"Services/care";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";"    0.07";"    0.61";"      26";"     224"
"Services/care";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";"    0.09";"    0.74";"      32";"     271"
"Services/care";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2018";"    0.08";"    0.62";"      31";"     226"
"Services/care";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2019";"    0.09";"    0.68";"      33";"     249"
"Services/care";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2020";"    0.06";"    0.45";"      23";"     163"
"Services/care";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2021";"    0.09";"    0.63";"      31";"     229"
"Services/care";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2018";"    0.09";"    0.84";"      33";"     306"
"Services/care";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2019";"    0.09";"    0.68";"      33";"     250"
"Services/care";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2020";"    0.07";"    0.61";"      27";"     224"
"Services/care";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2021";"    0.09";"    0.72";"      33";"     264"
"Services/care";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2018";"    0.08";"    0.90";"      30";"     328"
"Services/care";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2019";"    0.09";"    0.67";"      32";"     246"
"Services/care";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2020";"    0.08";"    0.70";"      30";"     256"
"Services/care";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2021";"    0.09";"    0.62";"      31";"     225"
"Services/care";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2018";"    0.08";"    0.93";"      30";"     340"
"Services/care";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2019";"    0.08";"    0.82";"      28";"     297"
"Services/care";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2020";"    0.07";"    0.72";"      27";"     265"
"Services/care";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2021";"    0.09";"    0.87";"      34";"     317"
"Services/care";"Population 6 years or older";"Total";"Value";"Not urbanised";"2018";"    0.08";"    0.97";"      30";"     356"
"Services/care";"Population 6 years or older";"Total";"Value";"Not urbanised";"2019";"    0.08";"    0.95";"      29";"     345"
"Services/care";"Population 6 years or older";"Total";"Value";"Not urbanised";"2020";"    0.07";"    0.66";"      24";"     243"
"Services/care";"Population 6 years or older";"Total";"Value";"Not urbanised";"2021";"    0.08";"    1.11";"      31";"     407"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    0.03";"    0.41";"      12";"     151"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    0.03";"    0.38";"      12";"     140"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.03";"    0.36";"      11";"     133"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.04";"    0.42";"      13";"     153"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.03";"    0.29";"      10";"     105"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.02";"    0.28";"       9";"     102"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.02";"    0.23";"       7";"      86"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.03";"    0.25";"       9";"      91"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    0.04";"    0.38";"      13";"     139"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    0.03";"    0.34";"      12";"     124"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.03";"    0.39";"      11";"     142"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.04";"    0.44";"      13";"     161"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    0.04";"    0.47";"      14";"     173"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    0.03";"    0.35";"      13";"     128"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    0.04";"    0.41";"      13";"     150"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    0.04";"    0.33";"      13";"     120"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    0.03";"    0.50";"      13";"     181"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    0.04";"    0.51";"      15";"     185"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    0.03";"    0.42";"      13";"     153"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    0.05";"    0.57";"      17";"     209"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    0.04";"    0.59";"      16";"     215"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    0.04";"    0.60";"      16";"     218"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    0.04";"    0.44";"      13";"     161"
"Services/care";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    0.04";"    0.64";"      16";"     232"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.01";"    0.20";"       5";"      73"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.01";"    0.19";"       5";"      68"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.01";"    0.15";"       4";"      56"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.01";"    0.18";"       5";"      66"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"    0.01";"    0.07";"       3";"      25"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"    0.01";"    0.16";"       5";"      57"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"    0.01";"    0.09";"       3";"      32"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"    0.01";"    0.19";"       4";"      71"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"    0.01";"    0.21";"       5";"      78"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"    0.02";"    0.20";"       6";"      72"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"    0.01";"    0.12";"       4";"      43"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"    0.01";"    0.14";"       5";"      51"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"    0.01";"    0.23";"       5";"      85"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"    0.01";"    0.18";"       4";"      66"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"    0.02";"    0.19";"       6";"      71"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"    0.01";"    0.18";"       4";"      64"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"    0.02";"    0.27";"       7";"      98"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"    0.01";"    0.22";"       4";"      80"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"    0.01";"    0.23";"       5";"      86"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"    0.01";"    0.17";"       5";"      60"
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";"    0.00";"    0.07";"       1";"      27"
"Services/care";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"    0.00";"    0.03";"       1";"      10"
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.00";"    0.03";"       1";"      10"
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"    0.00";"    0.01";"       1";"       4"
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"    0.00";"    0.02";"       1";"       7"
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"    0.01";"    0.05";"       3";"      19"
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"    0.01";"    0.06";"       3";"      21"
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"    0.00";"    0.04";"       1";"      13"
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.02";"    0.06";"       8";"      21"
"Services/care";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.02";"    0.06";"       8";"      22"
"Services/care";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.02";"    0.05";"       6";"      17"
"Services/care";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.02";"    0.07";"       8";"      24"
"Services/care";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.03";"    0.07";"       9";"      27"
"Services/care";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.03";"    0.08";"      10";"      29"
"Services/care";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.02";"    0.05";"       7";"      20"
"Services/care";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.03";"    0.08";"      10";"      29"
"Services/care";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.03";"    0.06";"       9";"      23"
"Services/care";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.03";"    0.07";"       9";"      25"
"Services/care";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.02";"    0.05";"       7";"      18"
"Services/care";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.02";"    0.06";"       9";"      23"
"Services/care";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2018";"    0.02";"    0.05";"       7";"      18"
"Services/care";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.02";"    0.06";"       9";"      21"
"Services/care";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.02";"    0.05";"       7";"      19"
"Services/care";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.02";"    0.06";"       9";"      21"
"Services/care";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.02";"    0.04";"       7";"      16"
"Services/care";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.02";"    0.04";"       6";"      14"
"Services/care";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.01";"    0.04";"       5";"      15"
"Services/care";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.02";"    0.05";"       6";"      20"
"Services/care";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";"    0.01";"    0.01";"       3";"       4"
"Services/care";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";"    0.01";"    0.01";"       3";"       3"
"Services/care";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";"    0.01";"    0.01";"       3";"       3"
"Services/care";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";"    0.01";"    0.01";"       4";"       4"
"Services/care";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2018";"    0.01";"    0.02";"       4";"       8"
"Services/care";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2019";"    0.01";"    0.02";"       5";"       6"
"Services/care";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2020";"    0.01";"    0.01";"       4";"       5"
"Services/care";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2021";"    0.01";"    0.02";"       5";"       6"
