"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Professionally";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.00";"    0.03";"       1";"      12"
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.01";"    0.04";"       4";"      16"
"Professionally";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.01";"    0.06";"       5";"      21"
"Professionally";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.01";"    0.04";"       4";"      13"
"Professionally";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.01";"    0.04";"       4";"      16"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.01";"    0.05";"       5";"      20"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.02";"    0.09";"       8";"      34"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.01";"    0.04";"       4";"      14"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.01";"    0.06";"       5";"      21"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.01";"    0.04";"       3";"      15"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.01";"    0.04";"       4";"      16"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.01";"    0.04";"       3";"      14"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.01";"    0.04";"       4";"      14"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.01";"    0.05";"       5";"      18"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.01";"    0.03";"       3";"      10"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.01";"    0.04";"       4";"      14"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.01";"    0.04";"       4";"      15"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.01";"    0.05";"       3";"      18"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.01";"    0.04";"       4";"      15"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.01";"    0.04";"       4";"      15"
"Professionally";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Bike";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2018";"    0.00";"    0.01";"       1";"       2"
"Professionally";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2019";"    0.00";"    0.01";"       1";"       3"
"Professionally";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2020";"    0.00";"    0.00";"       1";"       2"
"Professionally";"Population: 12 years or older";"Walking";"Value";"The Netherlands";"2021";"    0.00";"    0.01";"       2";"       2"
"Professionally";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2019";"    0.01";"    0.01";"       2";"       4"
"Professionally";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Extremely urbanised";"2021";"    0.00";"    0.01";"       2";"       2"
"Professionally";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Professionally";"Population: 12 years or older";"Walking";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2018";"    0.09";"    0.87";"      32";"     316"
"Services/care";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2019";"    0.09";"    0.77";"      33";"     283"
"Services/care";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2020";"    0.07";"    0.64";"      27";"     236"
"Services/care";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2021";"    0.09";"    0.78";"      33";"     286"
"Services/care";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2018";"    0.09";"    0.66";"      32";"     239"
"Services/care";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2019";"    0.09";"    0.72";"      34";"     261"
"Services/care";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2020";"    0.07";"    0.48";"      25";"     174"
"Services/care";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2021";"    0.09";"    0.66";"      33";"     239"
"Services/care";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2018";"    0.09";"    0.89";"      35";"     324"
"Services/care";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2019";"    0.09";"    0.73";"      34";"     267"
"Services/care";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2020";"    0.08";"    0.65";"      28";"     237"
"Services/care";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2021";"    0.09";"    0.76";"      34";"     279"
"Services/care";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2018";"    0.09";"    0.95";"      32";"     345"
"Services/care";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2019";"    0.09";"    0.70";"      33";"     256"
"Services/care";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2020";"    0.08";"    0.74";"      31";"     271"
"Services/care";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2021";"    0.09";"    0.66";"      33";"     240"
"Services/care";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2018";"    0.08";"    0.96";"      31";"     352"
"Services/care";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2019";"    0.08";"    0.87";"      29";"     317"
"Services/care";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2020";"    0.08";"    0.76";"      28";"     279"
"Services/care";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2021";"    0.10";"    0.91";"      35";"     334"
"Services/care";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2018";"    0.08";"    0.99";"      30";"     361"
"Services/care";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2019";"    0.08";"    1.01";"      30";"     367"
"Services/care";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2020";"    0.07";"    0.66";"      24";"     240"
"Services/care";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2021";"    0.09";"    1.17";"      32";"     428"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    0.04";"    0.45";"      13";"     163"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    0.04";"    0.41";"      13";"     151"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.03";"    0.39";"      12";"     143"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.04";"    0.45";"      14";"     164"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.03";"    0.31";"      10";"     113"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.03";"    0.30";"      10";"     110"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.02";"    0.25";"       8";"      92"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.03";"    0.27";"      10";"      98"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    0.04";"    0.41";"      14";"     150"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    0.03";"    0.37";"      13";"     134"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.03";"    0.42";"      12";"     153"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.04";"    0.47";"      14";"     173"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    0.04";"    0.51";"      15";"     186"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    0.04";"    0.38";"      14";"     139"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    0.04";"    0.44";"      14";"     161"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    0.04";"    0.35";"      14";"     129"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    0.04";"    0.53";"      14";"     194"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    0.04";"    0.54";"      16";"     199"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    0.04";"    0.45";"      14";"     165"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    0.05";"    0.61";"      19";"     224"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    0.05";"    0.63";"      17";"     231"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    0.05";"    0.64";"      17";"     234"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    0.04";"    0.47";"      14";"     172"
"Services/care";"Population: 12 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    0.05";"    0.68";"      17";"     249"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.01";"    0.20";"       5";"      71"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.01";"    0.19";"       5";"      70"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.01";"    0.15";"       4";"      56"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.01";"    0.18";"       5";"      66"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"    0.01";"    0.07";"       3";"      26"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"    0.01";"    0.16";"       4";"      59"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"    0.01";"    0.09";"       3";"      34"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"    0.01";"    0.20";"       4";"      71"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"    0.01";"    0.22";"       5";"      79"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"    0.02";"    0.21";"       6";"      76"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"    0.01";"    0.12";"       4";"      44"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"    0.01";"    0.14";"       5";"      52"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"    0.01";"    0.23";"       5";"      83"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"    0.01";"    0.17";"       4";"      64"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"    0.01";"    0.20";"       5";"      72"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"    0.01";"    0.19";"       4";"      68"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"    0.02";"    0.26";"       6";"      94"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"    0.01";"    0.23";"       4";"      84"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"    0.01";"    0.24";"       5";"      88"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"    0.01";"    0.16";"       5";"      58"
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2018";"    0.00";"    0.08";"       1";"      29"
"Services/care";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"The Netherlands";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Extremely urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"    0.00";"    0.03";"       1";"      11"
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.00";"    0.03";"       1";"      11"
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"    0.00";"    0.01";"       1";"       5"
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"    0.00";"    0.02";"       1";"       7"
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"    0.01";"    0.06";"       3";"      21"
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"    0.01";"    0.06";"       3";"      22"
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"    0.00";"    0.04";"       1";"      14"
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Services/care";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.02";"    0.06";"       8";"      21"
"Services/care";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.02";"    0.06";"       9";"      23"
"Services/care";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.02";"    0.05";"       7";"      18"
"Services/care";"Population: 12 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.02";"    0.07";"       8";"      25"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.03";"    0.08";"       9";"      28"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.03";"    0.08";"      10";"      30"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.02";"    0.06";"       8";"      21"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.03";"    0.08";"      10";"      30"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.03";"    0.07";"      10";"      24"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.03";"    0.07";"      10";"      26"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.02";"    0.05";"       7";"      19"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.02";"    0.07";"       9";"      24"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2018";"    0.02";"    0.05";"       8";"      20"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.02";"    0.06";"       9";"      22"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.02";"    0.05";"       7";"      19"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.02";"    0.06";"       9";"      23"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.02";"    0.05";"       7";"      16"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.02";"    0.04";"       6";"      15"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.01";"    0.04";"       5";"      16"
"Services/care";"Population: 12 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.02";"    0.06";"       7";"      21"
